time,pv_power_w,ghi,sun_alt,temp_air,wind_speed,pv_power_kw
2020-01-10 07:00:00+00:00,699.2,171.68,9.58,-2.79,1.38,0.6992
2020-01-10 08:00:00+00:00,2252.35,540.7,17.11,1.48,0.76,2.25235
2020-01-10 09:00:00+00:00,2766.85,698.57,22.65,5.55,0.21,2.76685
2020-01-10 10:00:00+00:00,3049.0,790.94,25.63,7.87,0.34,3.049
2020-01-10 11:00:00+00:00,3046.7,791.88,25.69,9.06,0.55,3.0467
2020-01-10 12:00:00+00:00,2776.2,712.34,22.82,9.6,0.55,2.7762
2020-01-10 13:00:00+00:00,2248.9,563.23,17.38,9.36,0.62,2.2489
2020-01-10 14:00:00+00:00,1335.65,333.93,9.91,8.61,0.69,1.33565
2020-01-10 15:00:00+00:00,0.0,0.0,0.0,7.59,0.28,0.0
2020-01-10 16:00:00+00:00,0.0,0.0,0.0,6.63,0.41,0.0
2020-01-10 17:00:00+00:00,0.0,0.0,0.0,5.66,0.9,0.0
2020-01-10 18:00:00+00:00,0.0,0.0,0.0,4.7,1.17,0.0
2020-01-10 19:00:00+00:00,0.0,0.0,0.0,2.35,1.38,0.0
2020-01-10 20:00:00+00:00,0.0,0.0,0.0,1.02,1.45,0.0
2020-01-10 21:00:00+00:00,0.0,0.0,0.0,0.07,1.52,0.0
2020-01-10 22:00:00+00:00,0.0,0.0,0.0,-0.47,1.59,0.0
2020-01-10 23:00:00+00:00,0.0,0.0,0.0,-1.11,1.66,0.0
2020-01-11 00:00:00+00:00,0.0,0.0,0.0,-1.71,1.66,0.0
2020-01-11 01:00:00+00:00,0.0,0.0,0.0,-1.95,1.66,0.0
2020-01-11 02:00:00+00:00,0.0,0.0,0.0,-2.07,1.66,0.0
2020-01-11 03:00:00+00:00,0.0,0.0,0.0,-2.29,1.66,0.0
2020-01-11 04:00:00+00:00,0.0,0.0,0.0,-2.08,1.66,0.0
2020-01-11 05:00:00+00:00,0.0,0.0,0.0,-2.19,1.72,0.0
2020-01-11 06:00:00+00:00,0.0,0.0,0.0,-2.06,1.66,0.0
2020-01-11 07:00:00+00:00,1135.75,271.69,9.64,-1.0,1.59,1.13575
2020-01-11 08:00:00+00:00,2333.3,560.33,17.2,2.27,1.24,2.3333000000000004
2020-01-11 09:00:00+00:00,2902.45,722.16,22.76,5.29,1.24,2.90245
2020-01-11 10:00:00+00:00,1243.8,303.17,25.77,7.2,1.66,1.2438
2020-01-11 11:00:00+00:00,276.65,80.41,25.85,7.49,1.86,0.27664999999999995
2020-01-11 12:00:00+00:00,170.9,54.87,22.99,7.5,1.86,0.1709
2020-01-11 13:00:00+00:00,206.25,63.38,17.56,6.88,1.66,0.20625
2020-01-11 14:00:00+00:00,737.0,186.28,10.09,5.7,1.66,0.737
2020-01-11 15:00:00+00:00,0.0,0.0,0.0,4.49,1.72,0.0
2020-01-11 16:00:00+00:00,0.0,0.0,0.0,3.14,1.66,0.0
2020-01-11 17:00:00+00:00,0.0,0.0,0.0,2.1,1.66,0.0
2020-01-11 18:00:00+00:00,0.0,0.0,0.0,1.7,1.59,0.0
2020-01-11 19:00:00+00:00,0.0,0.0,0.0,1.96,1.52,0.0
2020-01-11 20:00:00+00:00,0.0,0.0,0.0,1.07,1.59,0.0
2020-01-11 21:00:00+00:00,0.0,0.0,0.0,1.48,1.45,0.0
2020-01-11 22:00:00+00:00,0.0,0.0,0.0,1.53,1.45,0.0
2020-01-11 23:00:00+00:00,0.0,0.0,0.0,1.56,1.45,0.0
2020-01-12 00:00:00+00:00,0.0,0.0,0.0,1.31,1.52,0.0
2020-01-12 01:00:00+00:00,0.0,0.0,0.0,1.27,1.59,0.0
2020-01-12 02:00:00+00:00,0.0,0.0,0.0,1.2,1.59,0.0
2020-01-12 03:00:00+00:00,0.0,0.0,0.0,1.21,1.45,0.0
2020-01-12 04:00:00+00:00,0.0,0.0,0.0,0.98,1.31,0.0
2020-01-12 05:00:00+00:00,0.0,0.0,0.0,0.74,1.24,0.0
2020-01-12 06:00:00+00:00,0.0,0.0,0.0,0.52,1.24,0.0
2020-01-12 07:00:00+00:00,285.45,80.52,9.72,0.9,1.17,0.28545
2020-01-12 08:00:00+00:00,219.6,65.27,17.3,1.59,1.17,0.2196
2020-01-12 09:00:00+00:00,179.8,55.81,22.89,1.64,1.17,0.17980000000000002
2020-01-12 10:00:00+00:00,160.3,51.08,25.92,1.57,1.1,0.1603
2020-01-12 11:00:00+00:00,337.65,92.71,26.02,1.72,1.17,0.33764999999999995
2020-01-12 12:00:00+00:00,304.15,85.14,23.17,2.05,0.97,0.30415
